id,name,color
bose,Bose,#000000
sennheiser,Sennheiser,#003366
jbl,JBL,#FF6600
beats,Beats,#E01F3D
soundcore,Soundcore,#00A3E0
jabra,Jabra,#FACC15
marshall,Marshall,#E5E7EB
audio-technica,Audio-Technica,#60A5FA
bang-olufsen,Bang & Olufsen,#F43F5E
